,"Life expectancy at birth, total (years)","Lower secondary completion rate, total (% of relevant age group)","School enrollment, secondary (% net)",Expense (% of GDP),Compensation of employees (% of expense),Tax revenue (% of GDP),"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Labor force with advanced education (% of total working-age population with advanced education),"Labor force participation rate, total (% of total population ages 15+) (national estimate)",Labor force with basic education (% of total working-age population with basic education),Labor force with intermediate education (% of total working-age population with intermediate education),Net lending (+) / net borrowing (-) (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)
27,78.6317073170732,92.70065661943377,89.52623263157895,24.5677999035703,2.9812574882163903,22.4752112825954,70.0080032348633,86.7200012207031,62.9976997375488,66.3600006103516,82.5400009155273,0.55342252810248,16.903742219535694,1.3
28,78.9317073170732,92.87763738378234,89.74457894736842,24.5677999035703,2.9812574882163903,22.4752112825954,69.9619979858398,86.7200012207031,62.7639999389648,66.3600006103516,82.5400009155273,0.55342252810248,16.903742219535694,1.3
29,79.2341463414634,93.0546181481309,89.9629252631579,24.0839192992911,2.582283535427931,23.0768998077618,70.161003112793,86.7200012207031,63.1380996704102,66.3600006103516,82.5400009155273,2.01373648396225,16.903742219535694,1.3
30,79.6341463414634,93.23159891247946,90.18127157894736,26.2649170432272,2.6086919522427725,24.9402183625363,70.5970001220703,86.7200012207031,63.2985000610352,66.3600006103516,82.5400009155273,0.888001974283259,16.903742219535694,1.3
31,79.9365853658537,93.40857967682803,90.39961789473683,26.4337032799339,2.600586275427475,23.6166114022748,69.8629989624023,86.7200012207031,63.3639984130859,66.3600006103516,82.5400009155273,-0.44176158397779,16.939199794037282,1.4
32,80.2390243902439,93.58556044117658,90.61796421052631,25.7735717139433,2.6746654015181917,24.365136835797,70.1279983520508,86.7200012207031,63.5859985351563,66.3600006103516,82.5400009155273,0.80528365960847,16.974657368538875,1.5
33,80.490243902439,93.76254120552515,90.83631052631578,25.6963970273124,2.680366394553567,24.3441934685885,70.1029968261719,86.7200012207031,63.4595985412598,66.3600006103516,82.5400009155273,0.814481109450327,16.79736949603092,1.0
34,80.8414634146341,93.93952196987372,91.05465684210526,25.6395745312895,2.6146745723792346,24.8369690720979,70.8050003051758,86.7200012207031,64.3979034423828,66.3600006103516,82.5400009155273,1.25329178822838,16.770776315154727,0.925
35,81.0414634146342,94.11650273422228,91.27300315789473,24.9779713577472,2.5719819756530926,24.5893841012414,70.7639999389648,86.7200012207031,64.7562026977539,66.3600006103516,82.5400009155273,1.72796884879018,16.744183134278536,0.85
36,81.2926829268293,94.29348349857085,91.49134947368421,24.5017223560248,2.5690391894665208,24.0931056982697,70.7379989624023,86.7200012207031,65.1763000488281,66.3600006103516,82.5400009155273,1.63382241556866,16.717589953402342,0.7749999999999999
37,81.3951219512195,94.4704642629194,91.70969578947368,24.3704095682287,2.5527620947021012,24.2553169802763,70.7419967651367,86.7200012207031,65.4810028076172,66.3600006103516,82.5400009155273,1.90637494022405,16.69099677252615,0.7
38,81.5439024390244,94.64744502726798,91.92804210526316,26.4938558657932,2.6066841514270163,22.0436537065179,69.0910034179688,86.7200012207031,65.4311981201172,66.3600006103516,82.5400009155273,-2.44257605275583,16.69099677252615,0.7
